@RELATION demanda_productos

@ATTRIBUTE cantidadVendidaMes NUMERIC
@ATTRIBUTE stockActual NUMERIC
@ATTRIBUTE precioUnitario NUMERIC
@ATTRIBUTE categoria STRING
@ATTRIBUTE mesVenta {ENERO,FEBRERO,MARZO,ABRIL,MAYO,JUNIO,JULIO,AGOSTO,SEPTIEMBRE,OCTUBRE,NOVIEMBRE,DICIEMBRE}
@ATTRIBUTE frecuenciaReposicion NUMERIC
@ATTRIBUTE tienePromocion {false,true}
@ATTRIBUTE demanda {ALTA,MEDIA,BAJA}

@DATA
69,66,147.49,'MODA',SEPTIEMBRE,8,false,MEDIA
85,2,66.27,'ELECTRONICA',JULIO,3,false,ALTA
134,59,115.74,'MODA',SEPTIEMBRE,3,false,ALTA
140,89,71.34,'HOGAR',JULIO,6,true,ALTA
45,54,92.61,'ELECTRONICA',AGOSTO,1,true,MEDIA
56,40,20.35,'HOGAR',FEBRERO,8,false,MEDIA
139,83,26.04,'ALIMENTOS',MAYO,6,false,ALTA
12,1,2.23,'DEPORTES',ENERO,7,false,BAJA
124,76,1.81,'HOGAR',AGOSTO,2,false,MEDIA
121,30,59.01,'DEPORTES',NOVIEMBRE,6,false,ALTA
106,99,72.01,'ELECTRONICA',OCTUBRE,3,false,ALTA
67,54,129.62,'ALIMENTOS',JUNIO,2,false,MEDIA
118,46,143.29,'ALIMENTOS',MARZO,2,false,ALTA
33,13,113.17,'MODA',ABRIL,2,true,MEDIA
45,64,66.78,'ALIMENTOS',NOVIEMBRE,0,true,MEDIA
99,0,80.78,'MODA',AGOSTO,8,false,ALTA
97,18,38.37,'ELECTRONICA',NOVIEMBRE,3,false,ALTA
30,58,49.09,'HOGAR',ABRIL,9,true,MEDIA
120,22,30.42,'MODA',MAYO,6,true,ALTA
59,85,77.34,'HOGAR',DICIEMBRE,7,false,MEDIA
51,67,132.65,'ELECTRONICA',MARZO,10,false,MEDIA
139,49,72.56,'DEPORTES',ENERO,1,true,ALTA
133,2,79.41,'ELECTRONICA',SEPTIEMBRE,4,true,ALTA
94,50,22.67,'ELECTRONICA',FEBRERO,3,false,ALTA
82,78,107.99,'DEPORTES',JULIO,6,true,ALTA
49,65,77.55,'MODA',JUNIO,9,true,ALTA
24,44,105.5,'MODA',FEBRERO,2,true,BAJA
141,30,139.59,'ELECTRONICA',SEPTIEMBRE,0,true,ALTA
91,80,110.51,'HOGAR',MARZO,3,true,ALTA
76,77,6.3,'HOGAR',AGOSTO,2,true,ALTA
27,17,62.55,'DEPORTES',SEPTIEMBRE,4,true,BAJA
114,46,137.24,'HOGAR',OCTUBRE,8,false,ALTA
141,27,48.22,'DEPORTES',SEPTIEMBRE,0,false,ALTA
110,25,129.77,'MODA',DICIEMBRE,1,true,ALTA
8,59,15.29,'MODA',SEPTIEMBRE,6,true,BAJA
125,36,83.67,'MODA',FEBRERO,4,true,ALTA
127,31,37.99,'MODA',DICIEMBRE,6,true,ALTA
8,20,123.12,'ALIMENTOS',FEBRERO,5,true,BAJA
87,43,102.54,'ALIMENTOS',FEBRERO,7,true,BAJA
67,9,67.59,'DEPORTES',NOVIEMBRE,10,true,ALTA
79,60,72.21,'HOGAR',NOVIEMBRE,9,false,ALTA
92,87,32.45,'DEPORTES',SEPTIEMBRE,1,true,ALTA
85,58,147.52,'ALIMENTOS',DICIEMBRE,2,true,ALTA
0,37,137.91,'ALIMENTOS',JUNIO,8,false,BAJA
102,58,16.5,'ELECTRONICA',JUNIO,4,true,ALTA
64,31,75.33,'ELECTRONICA',MARZO,2,false,MEDIA
130,56,60.81,'DEPORTES',NOVIEMBRE,6,false,ALTA
16,77,81.74,'ALIMENTOS',NOVIEMBRE,8,true,BAJA
110,37,9.06,'MODA',NOVIEMBRE,1,true,ALTA
119,38,116.01,'MODA',MAYO,0,true,ALTA
34,82,125.46,'ALIMENTOS',JULIO,7,true,MEDIA
36,33,14.55,'ELECTRONICA',ABRIL,9,false,MEDIA
24,78,2.12,'MODA',FEBRERO,8,true,BAJA
11,97,86.23,'DEPORTES',JULIO,4,true,BAJA
16,100,29.2,'DEPORTES',OCTUBRE,4,false,BAJA
32,2,68.46,'HOGAR',NOVIEMBRE,6,false,MEDIA
130,56,86.43,'DEPORTES',MAYO,0,false,ALTA
8,91,124.48,'DEPORTES',MAYO,8,false,BAJA
22,63,112.49,'ALIMENTOS',DICIEMBRE,5,false,BAJA
130,67,34.95,'ELECTRONICA',JULIO,10,false,ALTA
144,50,121.31,'DEPORTES',JULIO,4,false,ALTA
56,100,75.23,'DEPORTES',JUNIO,2,false,MEDIA
19,44,117.88,'HOGAR',ABRIL,6,true,BAJA
149,41,70.65,'HOGAR',ENERO,1,false,ALTA
47,94,145.78,'MODA',MARZO,0,true,MEDIA
106,57,129.33,'ALIMENTOS',DICIEMBRE,5,true,ALTA
111,93,59.26,'MODA',JULIO,6,false,MEDIA
79,92,91.0,'DEPORTES',OCTUBRE,9,true,ALTA
44,29,140.97,'DEPORTES',MARZO,5,true,MEDIA
5,20,112.11,'DEPORTES',FEBRERO,6,false,BAJA
142,0,66.7,'ELECTRONICA',MAYO,9,false,ALTA
81,81,23.54,'HOGAR',SEPTIEMBRE,6,false,ALTA
76,21,89.75,'ALIMENTOS',NOVIEMBRE,8,true,ALTA
45,73,94.89,'ELECTRONICA',MARZO,10,true,MEDIA
126,25,97.74,'MODA',MARZO,4,false,ALTA
94,25,25.41,'HOGAR',FEBRERO,4,true,ALTA
44,90,31.99,'MODA',OCTUBRE,2,false,MEDIA
32,30,83.35,'MODA',AGOSTO,9,true,MEDIA
127,33,121.07,'DEPORTES',ABRIL,1,false,ALTA
36,57,142.82,'DEPORTES',ENERO,5,true,MEDIA
48,79,81.43,'HOGAR',SEPTIEMBRE,0,false,MEDIA
4,48,137.41,'ALIMENTOS',MAYO,6,false,BAJA
63,7,108.91,'MODA',ABRIL,1,true,BAJA
44,82,70.08,'HOGAR',ABRIL,9,false,MEDIA
132,63,121.28,'HOGAR',DICIEMBRE,4,false,ALTA
98,43,59.67,'DEPORTES',DICIEMBRE,4,false,ALTA
135,48,79.02,'HOGAR',FEBRERO,6,false,ALTA
98,59,147.2,'HOGAR',MARZO,6,false,MEDIA
4,25,131.78,'DEPORTES',MARZO,1,true,BAJA
65,27,14.25,'MODA',NOVIEMBRE,9,true,BAJA
31,37,54.98,'ELECTRONICA',OCTUBRE,7,false,MEDIA
44,74,11.33,'MODA',NOVIEMBRE,8,false,MEDIA
42,99,13.02,'ALIMENTOS',OCTUBRE,9,true,MEDIA
92,29,49.52,'DEPORTES',MAYO,4,false,ALTA
98,23,67.35,'HOGAR',MAYO,8,false,ALTA
73,21,14.47,'ELECTRONICA',NOVIEMBRE,10,false,MEDIA
141,27,95.09,'DEPORTES',OCTUBRE,9,false,ALTA
113,24,2.71,'HOGAR',AGOSTO,10,false,ALTA
71,47,64.09,'ALIMENTOS',JUNIO,5,false,MEDIA
105,70,139.44,'DEPORTES',MARZO,5,true,MEDIA
34,30,127.11,'ALIMENTOS',MAYO,4,true,ALTA
127,68,110.79,'HOGAR',AGOSTO,0,false,ALTA
116,10,110.38,'HOGAR',MARZO,7,true,ALTA
45,77,4.49,'ELECTRONICA',NOVIEMBRE,6,true,MEDIA
50,51,114.38,'MODA',FEBRERO,2,false,MEDIA
148,50,78.29,'ELECTRONICA',SEPTIEMBRE,0,false,ALTA
118,61,44.05,'HOGAR',DICIEMBRE,3,true,ALTA
70,27,76.71,'MODA',NOVIEMBRE,6,false,MEDIA
112,18,105.69,'ELECTRONICA',DICIEMBRE,10,true,ALTA
98,41,58.31,'ELECTRONICA',MAYO,5,false,ALTA
21,87,139.29,'HOGAR',MAYO,8,false,BAJA
74,46,107.32,'ALIMENTOS',FEBRERO,1,true,MEDIA
84,81,99.47,'DEPORTES',ABRIL,4,true,ALTA
126,8,67.36,'ELECTRONICA',JULIO,4,true,ALTA
128,59,116.89,'DEPORTES',MARZO,7,true,ALTA
95,66,28.85,'ALIMENTOS',ABRIL,9,true,MEDIA
18,42,58.72,'DEPORTES',DICIEMBRE,2,true,BAJA
78,97,137.2,'DEPORTES',DICIEMBRE,0,true,ALTA
130,15,109.57,'HOGAR',DICIEMBRE,8,false,ALTA
150,42,105.31,'ELECTRONICA',SEPTIEMBRE,5,true,ALTA
108,68,20.35,'ALIMENTOS',NOVIEMBRE,10,true,ALTA
75,97,56.38,'ELECTRONICA',FEBRERO,0,false,MEDIA
127,98,63.27,'DEPORTES',OCTUBRE,2,true,ALTA
12,22,98.39,'DEPORTES',SEPTIEMBRE,2,true,BAJA
